id,name,image,infopic,role,picture_file_name,picture_content_type,picture_file_size,picture_updated_at,created_at,updated_at
116,Secador,https://bitacoradelmotoneto.files.wordpress.com/2017/04/ljubljana-20140707_170033.jpg,Tallinn | Estonia,fotosDetalles,,,,,2017-04-03 03:20:32.437368,2017-04-03 03:20:32.437368
117,Alumbrado Público,https://bitacoradelmotoneto.files.wordpress.com/2017/04/ljubljana-20140707_180453.jpg,Ljubljana | Eslovenia,fotosDetalles,,,,,2017-04-03 03:21:19.56754,2017-04-03 03:21:19.56754
118,Terracita,https://bitacoradelmotoneto.files.wordpress.com/2017/04/luangprabang-20160320_170255.jpg,Luang Prabang | Laos,fotosDetalles,,,,,2017-04-03 03:22:01.1173,2017-04-03 03:22:01.1173
119,Ganchos,https://bitacoradelmotoneto.files.wordpress.com/2017/04/luangprabang-20160320_170409.jpg,Luang Prabang | Laos,fotosDetalles,,,,,2017-04-03 03:23:09.742029,2017-04-03 03:23:09.742029
120,Usar Gafas,https://bitacoradelmotoneto.files.wordpress.com/2017/04/moscu-20140719_200556.jpg,Moscu | Rusia,fotosDetalles,,,,,2017-04-03 03:24:54.708809,2017-04-03 03:24:54.708809
121,Brooklin,https://bitacoradelmotoneto.files.wordpress.com/2017/04/newyork-20160211_205005.jpg,New York | USA,fotosDetalles,,,,,2017-04-03 03:25:26.312394,2017-04-03 03:25:26.312394
122,Calle Arroyo,https://bitacoradelmotoneto.files.wordpress.com/2017/04/retiro-20120603_142716.jpg,Buenos Aires | Argentina,fotosDetalles,,,,,2017-04-03 03:28:18.744827,2017-04-03 03:28:18.744827
124,Cúpula,https://bitacoradelmotoneto.files.wordpress.com/2017/04/suzdal-20140721_171229.jpg,Susdal | Rusia,fotosDetalles,,,,,2017-04-03 03:31:23.691347,2017-04-03 03:31:23.691347
125,Templo,https://bitacoradelmotoneto.files.wordpress.com/2017/04/tam-coc-20160309_142519.jpg,Tam Coc | Vietnam,fotosDetalles,,,,,2017-04-03 03:32:59.564348,2017-04-03 03:32:59.564348
126,Parqueadero,https://bitacoradelmotoneto.files.wordpress.com/2017/04/vang-vieng-20160324_073016.jpg,Vang Vieng | Laos,fotosDetalles,,,,,2017-04-03 03:33:59.895032,2017-04-03 03:33:59.895032
127,Albertina,https://bitacoradelmotoneto.files.wordpress.com/2017/04/wien-20140524_061436.jpg,Viena | Austria,fotosDetalles,,,,,2017-04-03 03:34:32.237872,2017-04-03 03:34:32.237872
128,Iliniza,https://bitacoradelmotoneto.files.wordpress.com/2017/04/dia-15-20111116_082154.jpg,Cotopaxi | Ecuador,fotosPaisajes,,,,,2017-04-03 04:06:04.830525,2017-04-03 04:06:04.830525
129,Cementerio,https://bitacoradelmotoneto.files.wordpress.com/2017/04/dia-30-20111201_082138.jpg,Puno | Perú,fotosPaisajes,,,,,2017-04-03 04:11:14.317713,2017-04-03 04:11:14.317713
130,Salinas Grandes,https://bitacoradelmotoneto.files.wordpress.com/2017/04/dia-41-20111212_140237.jpg,Jujuy | Argentina,fotosPaisajes,,,,,2017-04-03 04:13:53.197826,2017-04-03 04:13:53.197826
131,Pájaros,https://bitacoradelmotoneto.files.wordpress.com/2017/04/dia-107-20120216_192403.jpg,Concepción | Chile,fotosPaisajes,,,,,2017-04-03 04:15:50.250026,2017-04-03 04:15:50.250026
